File,Line,Index,Context
wiki/Valentin_Yanin.html,6,840,"SSR Academy of Sciences"",""Full Member"
wiki/Valentin_Yanin.html,6,890,"ian Academy of Sciences"",""Demidov Pri"
wiki/Valentin_Yanin.html,66,90,"iet_Academy_of_Sciences"" class=""mw-re"
wiki/Valentin_Yanin.html,66,145,"iet Academy of Sciences"">Soviet Acade"
wiki/Valentin_Yanin.html,66,173,iet Academy of Sciences</a>; he becam
wiki/Valentin_Yanin.html,144,1440,"Academy_of_Sciences"" title=""Category:"
wiki/Valentin_Yanin.html,144,1502,"Academy of Sciences"">Full Members of "
wiki/Valentin_Yanin.html,144,1548,Academy of Sciences</a></li><li><a hr
wiki/Valentin_Yanin.html,144,1632,"Academy_of_Sciences"" title=""Category:"
wiki/Valentin_Yanin.html,144,1697,"Academy of Sciences"">Full Members of "
wiki/Valentin_Yanin.html,144,1746,Academy of Sciences</a></li><li><a hr
wiki/William_Harvey_Lillard.html,80,166," (1910) <i>The Science, Art and Philo"
wiki/Victor_S._Mamatey.html,48,682,"ge_of_Arts_and_Sciences"" title=""Frank"
wiki/Victor_S._Mamatey.html,48,728,"ge of Arts and Sciences"">Franklin Col"
wiki/Victor_S._Mamatey.html,48,767,ge of Arts and Sciences</a>. In 1984 
wiki/Table_Point_Formation.html,68,907,"i/Portal:Earth_sciences"" title=""Porta"
wiki/Table_Point_Formation.html,68,937,"=""Portal:Earth sciences"">Earth scienc"
wiki/Table_Point_Formation.html,68,953,"ciences"">Earth sciences portal</a></s"
wiki/Master_of_Space_and_Time.html,6,499,"els"",""American science fiction novels"
wiki/Master_of_Space_and_Time.html,6,554,"Rucker"",""1980s science fiction novel "
wiki/Master_of_Space_and_Time.html,45,531,"time and weird science"".<sup id=""cite"
wiki/Master_of_Space_and_Time.html,61,49,"<a href=""/wiki/Science_fiction_novel"""
wiki/Master_of_Space_and_Time.html,61,99,"direct"" title=""Science fiction novel"""
wiki/Master_of_Space_and_Time.html,61,122,"fiction novel"">science fiction novel<"
wiki/Master_of_Space_and_Time.html,109,342,"y:American_science_fiction_novels"" ti"
